id,nome
1430,"(12S,13S)-EOD"
1431,13(S)-Hydroperoxylinolenic acid
1432,12-oxo-PDA
1433,3-Oxo-2-(2-entenyl)cyclopentaneoctanoic acid
1434,5-HETE
1435,12-HETE
1436,15-HETE
1438,4-Hydroxy-2E-nonenal
1439,Ayapin
1440,(-)-Pinoresinol
1441,(+)-Secoisolariciresinol
1442,(-)-Arctigenin
1443,(+)-Pinoresinolin
1444,(-)-Arctiin
1445,2-Hydroxypseudobaptigenin
1446,(3R)-Sophorol
1447,Medioresinol
1448,(-)-Olivil
1449,Lappaol A
1450,Lappaol C
1452,(+)-Bornyl diphosphate
1453,(+)-Camphene
1454,(+)-trans-Sabinene hydrate
1455,(+)-Sabinone
1456,cis-Sabinene hydrate
1457,(+)-trans-Sabinol
1458,(3R)-Linalyl diphosphate
1459,2-Hydroxycampholonic acid
1460,alpha-Campholonic acid
1461,6-Oxocamphor
1462,cis-beta-Ocimene
1463,Geranyl diphosphate
1464,Isoketocamphoric acid
1465,trans-beta-Ocimene
1466,"9beta-Pimara-7,15-diene"
1467,ent-Copalyl diphosphate
1468,ent-Sandaracopimaradiene
1469,Stemar-13-ene
1470,syn-Copalyl diphosphate
1471,Butin
1472,Sakuranetin
1473,6-Methylscutellarein
1474,beta-D-Glucosamine
1475,D-Arabitol
1476,2-Carboxyarabinitol 1-phosphate
1477,Glutaric acid
1480,Hentriacontane
1481,"Hentriacontane-14,16-dione"
1482,Hexacosan-1-ol
